"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 23 19:04:23 CST 2022","Thu Jun 23 19:04:23 CST 2022","238","test_case","test_1","Test_Case","","","test2",""
"passed","Thu Jun 23 19:04:23 CST 2022","Thu Jun 23 19:04:23 CST 2022","122","test_case","test_1","Test_Case","","","test1",""
